Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,50  ,32
2         ,0   ,50   ,100 ,64
3         ,50  ,100  ,150 ,128
4         ,100 ,150  ,250 ,128
5         ,150 ,250  ,400 ,256
6         ,250 ,400  ,500 ,256
7         ,400 ,500  ,800 ,512
8         ,500 ,800  ,1000 ,512
